ModelType,Lags,Hidden,Layers,Dropout,Learning_Rate,Epochs,RMSE,MAPE,R
LSTM,5,128,4,0.4,0.001,100,1.5156335579721552,269.3846553271976,nan
LSTM,5,128,4,0.4,0.001,150,1.5268349515434116,269.15038878877147,-0.46896433866399395
LSTM,5,128,8,0.4,0.001,50,5.749070697213805,184.61719348102793,0.04358027701679298
LSTM,5,128,8,0.4,0.001,100,5.435025176843448,190.51510489371873,-0.03718820495179446
LSTM,5,128,8,0.4,0.001,150,7.578288716292447,152.55937408988734,-0.037188204951794424
LSTM,7,128,2,0.4,0.001,50,0.42413879959867273,70.0754193155967,0.9330801543315059
LSTM,7,128,2,0.4,0.001,100,1.7838670870603948,111.86891319439754,0.8701562019838033
LSTM,7,128,2,0.4,0.001,150,0.4487190154120532,68.03310741261838,0.9201346857884053
LSTM,7,128,4,0.4,0.001,50,3.157257657302053,235.1328232611467,0.14644409421065047
LSTM,7,128,4,0.4,0.001,100,5.068749529503059,197.50944802761842,0.7205278223434232
LSTM,7,128,4,0.4,0.001,150,1.524294492610604,269.19877462979395,0.5874931630082841
LSTM,7,128,8,0.4,0.001,50,7.520169029605686,153.52248722033656,-0.038411032886471345
LSTM,7,128,8,0.4,0.001,100,8.094195850668191,144.26704298306532,0.41164270170295303
LSTM,7,128,8,0.4,0.001,150,5.068869914374523,197.51005458931098,-0.043247201975799975
GRU,3,32,2,0.4,0.001,50,3.9517487383285057,65.5408622863706,0.941633369085315
GRU,3,32,2,0.4,0.001,100,3.5469420993096943,63.69000762643324,0.9559332447115594
GRU,3,32,2,0.4,0.001,150,0.5590343343253942,60.247816625659226,0.9567424014745785
GRU,3,32,4,0.4,0.001,50,8.163040807042426,85.71758149656092,0.8753471935388082
GRU,3,32,4,0.4,0.001,100,5.409797776769072,72.47302592985635,0.9023446873818346
GRU,3,32,4,0.4,0.001,150,3.1263634108440366,89.9297966491847,0.9036870136974979
GRU,3,32,8,0.4,0.001,50,12.424900386472158,99.46736742131932,-0.14675609649771912
GRU,3,32,8,0.4,0.001,100,11.023105108837012,112.28007815387922,-0.3714525446483166
GRU,3,32,8,0.4,0.001,150,6.690896217842842,172.5251295531595,-0.39575971623626915
GRU,5,32,2,0.4,0.001,50,0.8263228342473672,88.29173093379241,0.9186468857488664
GRU,5,32,2,0.4,0.001,100,0.30928070855602996,79.23622248839031,0.9356164706820714
GRU,5,32,2,0.4,0.001,150,0.30719074846304684,109.28238067277083,0.9191675409587046
GRU,5,32,4,0.4,0.001,50,14.23025157643157,121.41334565530344,0.16379292558539288
GRU,5,32,4,0.4,0.001,100,5.382754848934606,71.91231443146006,0.8847738765709511
GRU,5,32,4,0.4,0.001,150,3.741334363033897,70.31583475942186,0.9212753778128384
GRU,5,32,8,0.4,0.001,50,17.088371908235416,191.49311932871765,-0.1557212790569976
GRU,5,32,8,0.4,0.001,100,8.282006150137354,143.43027099793088,-0.3175344117042976
GRU,5,32,8,0.4,0.001,150,4.326666656293367,211.74420397674584,0.04246251831761423
GRU,7,32,2,0.4,0.001,50,0.19170552409586814,110.45631057813866,0.9326127490978992
GRU,7,32,2,0.4,0.001,100,0.3217455488823127,121.50316985183758,0.8538730331002026
GRU,7,32,2,0.4,0.001,150,0.008432970813106632,115.6395651942728,0.8978759353854445
GRU,7,32,4,0.4,0.001,50,10.98641977415851,101.29161139479564,0.7861225764744627
GRU,7,32,4,0.4,0.001,100,4.519896579911504,87.11716378087212,0.8923101765257951
GRU,7,32,4,0.4,0.001,150,3.113879873481814,73.53595903198485,0.8922827496485657
GRU,7,32,8,0.4,0.001,50,15.765995589649908,158.65757525134345,-0.10170117258593458
GRU,7,32,8,0.4,0.001,100,6.734718384835198,166.82382779293056,-0.1337578026641791
GRU,7,32,8,0.4,0.001,150,3.9758409423511116,219.32046079899942,-0.2392090621094904
GRU,3,64,2,0.4,0.001,50,4.571314630746181,69.37937829098313,0.9264985387924984
GRU,3,64,2,0.4,0.001,100,1.4861788577980612,60.72074853792236,0.9486575408183954
GRU,3,64,2,0.4,0.001,150,2.1042134689161984,65.46283646909293,0.9364454299293797
GRU,3,64,4,0.4,0.001,50,13.198129714691078,103.16504244260389,-0.27952213592061026
GRU,3,64,4,0.4,0.001,100,4.002224302688134,227.98752934453967,-0.2612439335163655
GRU,3,64,4,0.4,0.001,150,4.5019413625764715,220.56938079656766,-0.4388810078594012
GRU,3,64,8,0.4,0.001,50,10.630228889285693,116.40027355039327,-0.3671648654066472
GRU,3,64,8,0.4,0.001,100,10.198714554805175,138.56307222666146,-0.47548391360643844
